hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-17_09,49651,80979,112,1056,60,1228,486,703,670,341,1714,0.41015169194865814,0.3908984830805134,0.19894982497082847,21421.0,6951.0,6975.0
2016-05-17_10,50191,81892,140,1002,67,1209,495,844,523,337,1704,0.4953051643192488,0.306924882629108,0.1977699530516432,21615.0,7035.0,7177.0
2016-05-17_11,50750,83004,178,1224,69,1471,507,800,760,418,1978,0.4044489383215369,0.38422649140546006,0.21132457027300303,21865.0,7147.0,7325.0
2016-05-17_12,51280,84026,164,1111,42,1317,509,766,701,359,1826,0.4194961664841183,0.3838992332968237,0.19660460021905804,22083.0,7235.0,7437.0
2016-05-17_13,51847,85036,165,1160,77,1402,503,847,717,341,1905,0.44461942257217846,0.3763779527559055,0.17900262467191602,22362.0,7317.0,7665.0
2016-05-17_14,52336,85966,134,1058,63,1255,483,818,583,337,1738,0.4706559263521289,0.33544303797468356,0.19390103567318756,22578.0,7421.0,7805.0
2016-05-17_15,52795,86858,148,1082,77,1307,508,799,694,322,1815,0.4402203856749311,0.38236914600550964,0.17741046831955923,22902.0,7509.0,7870.0
2016-05-17_16,53423,88172,170,1605,99,1874,575,1090,969,390,2449,0.44507962433646386,0.39567170273581054,0.1592486729277256,23398.0,7671.0,8133.0
2016-05-17_17,53998,89441,215,1465,81,1761,497,1004,868,386,2258,0.4446412754650133,0.38441098317094774,0.17094774136403898,23808.0,7791.0,8297.0
2016-05-17_18,54544,90645,203,1589,74,1866,581,1028,1066,353,2447,0.42010625255414796,0.4356354720065386,0.14425827543931344,24372.0,7889.0,8385.0
2016-05-17_19,55023,91736,159,1417,53,1629,343,733,964,275,1972,0.37170385395537525,0.48884381338742394,0.1394523326572008,24957.0,7976.0,8522.0
2016-05-17_20,55376,92639,138,1121,47,1306,274,577,738,265,1580,0.3651898734177215,0.4670886075949367,0.16772151898734178,25338.0,8044.0,8636.0
2016-05-17_21,55772,93599,127,1179,69,1375,337,715,730,267,1712,0.41764018691588783,0.4264018691588785,0.15595794392523366,25745.0,8124.0,8807.0
2016-05-17_22,56050,94257,85,801,31,917,179,503,446,147,1096,0.45894160583941607,0.40693430656934304,0.13412408759124086,25977.0,8180.0,8981.0
2016-05-17_23,56224,94657,50,475,14,539,119,226,288,144,658,0.3434650455927052,0.4376899696048632,0.2188449848024316,26172.0,8228.0,9015.0
2016-05-18_00,56290,94804,15,184,2,201,60,98,121,42,261,0.37547892720306514,0.46360153256704983,0.16091954022988506,26264.0,8235.0,9028.0
2016-05-18_01,56338,94902,4,123,15,142,52,84,75,35,194,0.4329896907216495,0.3865979381443299,0.18041237113402062,26309.0,8245.0,9041.0
2016-05-18_02,56375,94956,4,89,1,94,23,33,61,23,117,0.28205128205128205,0.5213675213675214,0.19658119658119658,26355.0,8251.0,9050.0
2016-05-18_03,56408,95014,4,75,1,80,17,34,41,22,97,0.35051546391752575,0.422680412371134,0.2268041237113402,26386.0,8257.0,9053.0
2016-05-18_04,56456,95106,7,146,4,157,52,88,85,36,209,0.42105263157894735,0.40669856459330145,0.1722488038277512,26443.0,8261.0,9077.0
2016-05-18_05,56604,95440,27,418,18,463,172,270,246,119,635,0.4251968503937008,0.38740157480314963,0.18740157480314962,26536.0,8312.0,9121.0
2016-05-18_06,56972,96159,76,861,30,967,387,695,432,227,1354,0.5132939438700148,0.3190546528803545,0.16765140324963074,26705.0,8387.0,9168.0
2016-05-18_07,57461,97152,117,1190,52,1359,525,972,599,313,1884,0.5159235668789809,0.3179405520169851,0.16613588110403396,27002.0,8480.0,9263.0
2016-05-18_08,57990,98235,131,1265,52,1448,472,1078,485,357,1920,0.5614583333333333,0.2526041666666667,0.1859375,27247.0,8576.0,9366.0
2016-05-18_09,58450,99042,84,983,47,1114,456,796,444,330,1570,0.5070063694267516,0.28280254777070063,0.21019108280254778,27445.0,8684.0,9432.0
2016-05-18_10,58890,99815,91,915,47,1053,481,811,469,254,1534,0.5286831812255541,0.3057366362451108,0.16558018252933507,27666.0,8752.0,9484.0
2016-05-18_11,59347,100628,126,914,53,1093,483,764,472,340,1576,0.4847715736040609,0.29949238578680204,0.21573604060913706,27874.0,8851.0,9521.0
2016-05-18_12,59714,101324,124,802,44,970,436,628,516,262,1406,0.4466571834992888,0.3669985775248933,0.18634423897581792,28060.0,8881.0,9561.0
2016-05-18_13,60106,102081,127,879,60,1066,413,752,501,226,1479,0.5084516565246788,0.33874239350912777,0.15280594996619337,28243.0,8943.0,9643.0
2016-05-18_14,60494,102784,95,904,43,1042,416,682,498,278,1458,0.46776406035665297,0.34156378600823045,0.1906721536351166,28450.0,8996.0,9743.0
2016-05-18_15,60900,103552,100,949,54,1103,433,722,514,300,1536,0.4700520833333333,0.3346354166666667,0.1953125,28655.0,9099.0,9809.0
2016-05-18_16,61243,104344,91,948,44,1083,399,745,502,235,1482,0.5026990553306343,0.33873144399460187,0.15856950067476383,28840.0,9160.0,9871.0
2016-05-18_17,61641,105252,120,1180,40,1340,413,783,692,278,1753,0.4466628636622932,0.3947518539646321,0.15858528237307473,29134.0,9248.0,9947.0
2016-05-18_18,62004,106128,122,1109,48,1279,339,752,651,215,1618,0.4647713226205192,0.40234857849196537,0.13288009888751545,29385.0,9364.0,9990.0
2016-05-18_19,62309,106853,108,881,38,1027,280,617,478,212,1307,0.4720734506503443,0.3657230298393267,0.162203519510329,29602.0,9414.0,10034.0
2016-05-18_20,62757,107994,129,1294,53,1476,287,717,670,376,1763,0.40669313669880885,0.38003403289846854,0.21327283040272263,29910.0,9693.0,10150.0
2016-05-18_21,63167,109058,119,1210,47,1376,282,698,574,386,1658,0.4209891435464415,0.34620024125452353,0.23281061519903498,30152.0,9841.0,10266.0
2016-05-18_22,63397,109692,78,718,36,832,148,398,389,193,980,0.4061224489795918,0.39693877551020407,0.19693877551020408,30300.0,9919.0,10345.0
2016-05-18_23,63509,110012,33,386,23,442,157,187,310,102,599,0.3121869782971619,0.5175292153589316,0.17028380634390652,30385.0,9959.0,10363.0
2016-05-19_00,63565,110140,17,163,14,194,83,93,143,41,277,0.33574007220216606,0.516245487364621,0.148014440433213,30438.0,9967.0,10384.0
2016-05-19_01,63608,110231,8,103,9,120,42,51,61,50,162,0.3148148148148148,0.3765432098765432,0.30864197530864196,30454.0,9972.0,10410.0
2016-05-19_02,63633,110307,10,87,6,103,30,47,53,33,133,0.3533834586466165,0.39849624060150374,0.24812030075187969,30473.0,9977.0,10416.0
2016-05-19_03,63658,110368,6,82,0,88,40,56,53,19,128,0.4375,0.4140625,0.1484375,30497.0,9983.0,10421.0
2016-05-19_04,63722,110493,5,160,2,167,64,103,89,39,231,0.4458874458874459,0.3852813852813853,0.16883116883116883,30534.0,9991.0,10466.0
2016-05-19_05,63831,110774,29,318,24,371,114,193,179,113,485,0.3979381443298969,0.36907216494845363,0.2329896907216495,30610.0,10017.0,10511.0
2016-05-19_06,64065,111392,66,738,52,856,327,466,446,271,1183,0.39391377852916315,0.37700760777683856,0.22907861369399832,30802.0,10114.0,10560.0
2016-05-19_07,64471,112283,119,1112,48,1279,404,735,638,310,1683,0.43672014260249553,0.3790849673202614,0.18419489007724302,31117.0,10361.0,10612.0
2016-05-19_08,64918,113226,106,1102,37,1245,447,789,599,304,1692,0.46631205673758863,0.3540189125295508,0.17966903073286053,31340.0,10534.0,10655.0
2016-05-19_09,65335,114062,108,958,33,1099,405,772,459,273,1504,0.5132978723404256,0.30518617021276595,0.1815159574468085,31535.0,10624.0,10703.0
2016-05-19_10,65745,114920,140,910,71,1121,411,736,501,295,1532,0.4804177545691906,0.32702349869451697,0.19255874673629242,31735.0,10692.0,10732.0
2016-05-19_11,66126,115700,112,980,42,1134,410,725,589,230,1544,0.469559585492228,0.38147668393782386,0.1489637305699482,31982.0,10765.0,10779.0
2016-05-19_12,66481,116512,96,1096,60,1252,427,759,695,225,1679,0.4520547945205479,0.41393686718284695,0.13400833829660513,32351.0,10822.0,10859.0
2016-05-19_13,66805,117297,94,1036,33,1163,369,665,598,269,1532,0.43407310704960833,0.39033942558746737,0.17558746736292427,32634.0,10858.0,11008.0
2016-05-19_14,67099,118009,91,970,37,1098,389,693,580,214,1487,0.4660390047074647,0.39004707464694016,0.14391392064559516,32876.0,10905.0,11110.0
2016-05-19_15,67374,118656,87,834,30,951,325,605,460,211,1276,0.47413793103448276,0.3605015673981191,0.16536050156739812,33057.0,10959.0,11193.0
2016-05-19_16,67664,119419,125,912,59,1096,374,705,555,210,1470,0.47959183673469385,0.37755102040816324,0.14285714285714285,33251.0,11049.0,11292.0
2016-05-19_17,67940,120213,113,1010,42,1165,392,710,613,234,1557,0.45600513808606297,0.3937058445728966,0.15028901734104047,33525.0,11162.0,11359.0
2016-05-19_18,68201,120988,103,1087,52,1242,313,689,681,185,1555,0.44308681672025724,0.4379421221864952,0.1189710610932476,33999.0,11221.0,11392.0
2016-05-19_19,68621,121879,123,1137,35,1295,483,722,871,185,1778,0.40607424071991,0.4898762654668167,0.10404949381327334,34377.0,11302.0,11456.0
2016-05-19_20,68962,122803,155,1180,36,1371,280,635,792,224,1651,0.38461538461538464,0.47970926711084194,0.13567534827377348,34739.0,11343.0,11501.0
2016-05-19_21,69333,123812,152,1306,62,1520,458,740,824,414,1978,0.3741152679474216,0.416582406471183,0.20930232558139536,35146.0,11450.0,11659.0
